Category,Item,Item With Emoji
Produce,Apples,🍎 Apples
Produce,Bananas,🍌 Bananas
Produce,Oranges,🍊 Oranges
Produce,Carrots,🥕 Carrots
Produce,Potatoes,🥔 Potatoes
Produce,Onions,🧅 Onions
Produce,Tomatoes,🍅 Tomatoes
Produce,Lettuce,🥬 Lettuce
Produce,Spinach,🥬 Spinach
Produce,Bell Peppers,🫑 Bell Peppers
Produce,Cucumber,🥒 Cucumber
Produce,Celery,🥬 Celery
Produce,Garlic,🧄 Garlic
Produce,Ginger,🫚 Ginger
Produce,Mushrooms,🍄 Mushrooms
Produce,Avocados,🥑 Avocados
Produce,Lemons,🍋 Lemons
Produce,Limes,🟩 Limes
Meat & Seafood,Chicken Breast,🍗 Chicken Breast
Meat & Seafood,Ground Beef,🥩 Ground Beef
Meat & Seafood,Salmon,🐟 Salmon
Meat & Seafood,Shrimp,🦐 Shrimp
Meat & Seafood,Pork Chops,🍖 Pork Chops
Meat & Seafood,Bacon,🥓 Bacon
Meat & Seafood,Turkey,🦃 Turkey
Meat & Seafood,Sausages,🌭 Sausages
Meat & Seafood,Tilapia,🐠 Tilapia
Meat & Seafood,Ground Turkey,🥩 Ground Turkey
Dairy & Eggs,Milk,🥛 Milk
Dairy & Eggs,Eggs,🥚 Eggs
Dairy & Eggs,Cheese,🧀 Cheese
Dairy & Eggs,Butter,🧈 Butter
Dairy & Eggs,Yogurt,🍶 Yogurt
Dairy & Eggs,Cream Cheese,🧀 Cream Cheese
Dairy & Eggs,Heavy Cream,🥛 Heavy Cream
Dairy & Eggs,Sour Cream,🥛 Sour Cream
Dairy & Eggs,Cottage Cheese,🧀 Cottage Cheese
Dairy & Eggs,Almond Milk,🌰 Almond Milk
Pantry,Salt,🧂 Salt
Pantry,Black Pepper,⚫ Black Pepper
Pantry,Sugar,🍬 Sugar
Pantry,Flour,🌾 Flour
Pantry,Olive Oil,🫒 Olive Oil
Pantry,Vegetable Oil,🌻 Vegetable Oil
Pantry,Honey,🍯 Honey
Pantry,Peanut Butter,🥜 Peanut Butter
Pantry,Jam/Jelly,🍇 Jam/Jelly
Pantry,Coffee,☕ Coffee
Pantry,Tea Bags,🍵 Tea Bags
Pantry,Cereal,🥣 Cereal
Pantry,Nuts,🥜 Nuts
Grains & Pasta,Rice,🍚 Rice
Grains & Pasta,Pasta,🍝 Pasta
Grains & Pasta,Bread,🍞 Bread
Grains & Pasta,Quinoa,🌾 Quinoa
Grains & Pasta,Oatmeal,🥣 Oatmeal
Grains & Pasta,Brown Rice,🍚 Brown Rice
Grains & Pasta,Tortillas,🌮 Tortillas
Grains & Pasta,Bagels,🥯 Bagels
Canned Goods,Diced Tomatoes,🍅 Diced Tomatoes
Canned Goods,Black Beans,🫘 Black Beans
Canned Goods,Tuna,🐟 Tuna
Canned Goods,Corn,🌽 Corn
Canned Goods,Chicken Broth,🍲 Chicken Broth
Canned Goods,Vegetable Broth,🥕 Vegetable Broth
Canned Goods,Tomato Sauce,🍅 Tomato Sauce
Canned Goods,Chickpeas,🫘 Chickpeas
Canned Goods,Soup,🍜 Soup
Frozen Foods,Frozen Peas,🫛 Frozen Peas
Frozen Foods,Frozen Broccoli,🥦 Frozen Broccoli
Frozen Foods,Ice Cream,🍦 Ice Cream
Frozen Foods,Frozen Pizza,🍕 Frozen Pizza
Frozen Foods,Frozen Berries,🫐 Frozen Berries
Frozen Foods,Frozen Corn,🌽 Frozen Corn
Frozen Foods,Frozen Spinach,🥬 Frozen Spinach
Frozen Foods,Ice,🧊 Ice
Condiments,Mayonnaise,🥪 Mayonnaise
Condiments,Mustard,🌭 Mustard
Condiments,Ketchup,🍅 Ketchup
Condiments,Soy Sauce,🧂 Soy Sauce
Condiments,Hot Sauce,🌶️ Hot Sauce
Condiments,BBQ Sauce,🍖 BBQ Sauce
Condiments,Ranch Dressing,🥗 Ranch Dressing
Condiments,Italian Dressing,🥗 Italian Dressing
Condiments,Maple Syrup,🍁 Maple Syrup
Condiments,Vinegar,🧴 Vinegar
Spices & Herbs,Basil,🌿 Basil
Spices & Herbs,Oregano,🌿 Oregano
Spices & Herbs,Cinnamon,🌰 Cinnamon
Spices & Herbs,Garlic Powder,🧄 Garlic Powder
Spices & Herbs,Onion Powder,🧅 Onion Powder
Spices & Herbs,Paprika,🌶️ Paprika
Spices & Herbs,Cumin,🌿 Cumin
Spices & Herbs,Chili Powder,🌶️ Chili Powder
Spices & Herbs,Italian Seasoning,🌿 Italian Seasoning
Spices & Herbs,Bay Leaves,🍃 Bay Leaves
Baking,Baking Powder,🧁 Baking Powder
Baking,Baking Soda,🧪 Baking Soda
Baking,Vanilla Extract,🌸 Vanilla Extract
Baking,Brown Sugar,🍯 Brown Sugar
Baking,Powdered Sugar,🍬 Powdered Sugar
Baking,Chocolate Chips,🍫 Chocolate Chips
Baking,Cocoa Powder,🍫 Cocoa Powder
Baking,Yeast,🍞 Yeast
Beverages,Water,💧 Water
Beverages,Soda,🥤 Soda
Beverages,Orange Juice,🍊 Orange Juice
Beverages,Apple Juice,🍎 Apple Juice
Beverages,Sparkling Water,💦 Sparkling Water
Beverages,Lemonade,🍋 Lemonade
Beverages,Sports Drinks,🧃 Sports Drinks
Snacks,Potato Chips,🥔 Potato Chips
Snacks,Pretzels,🥨 Pretzels
Snacks,Popcorn,🍿 Popcorn
Snacks,Crackers,🍘 Crackers
Snacks,Trail Mix,🥜 Trail Mix
Snacks,Granola Bars,🍫 Granola Bars
Snacks,Mixed Nuts,🥜 Mixed Nuts
Snacks,Dried Fruit,🍇 Dried Fruit
Cleaning Supplies,Laundry Detergent,🧺 Laundry Detergent
Cleaning Supplies,Dish Soap,🧼 Dish Soap
Cleaning Supplies,All-Purpose Cleaner,🧴 All-Purpose Cleaner
Cleaning Supplies,Glass Cleaner,🪟 Glass Cleaner
Cleaning Supplies,Bathroom Cleaner,🚽 Bathroom Cleaner
Cleaning Supplies,Floor Cleaner,🧹 Floor Cleaner
Cleaning Supplies,Sponges,🧽 Sponges
Cleaning Supplies,Cleaning Wipes,🧻 Cleaning Wipes
Cleaning Supplies,Bleach,🧴 Bleach
Cleaning Supplies,Trash Bags,🗑️ Trash Bags
Paper & Plastic,Paper Towels,🧻 Paper Towels
Paper & Plastic,Toilet Paper,🧻 Toilet Paper
